title,body,assignee,milestone,labels
L043 Slice 5 Migration:  CCE & CFD Equipment,Slice 5 of L043 migration to SAP and EDL. Estimated late June at earliest. Likely to slide to July per Mark Hamilton. As a data user of wholesale receivables I want to connect to the data to report and run models from. M ,adschiltz,,US CA Wholesale Portfolio Mgmt
L043 Slice 6 Migration: Canadian Equipment,Slice 6 of L043 migration to SAP and EDL. Estimated late June at earliest. Likely to slide to July per Mark Hamilton. As a data user of wholesale receivables I want to connect to the data to report and run models from. M ,adschiltz,,US CA Wholesale Model Decision Strategy
DOMD to EDL,working with Josh on dealer infastrcutre,adschiltz,,None
WAM Rad Integration,In order to take advantage of RAD benefits like auto alerts and enhanced monitoring I want to integrate with RAD app. re format model monitoring output files work with Katie to get a new dropdown for Wholesale scorecards,adschiltz,,US CA Wholesale Auth Model  WAM 
Dealer Unit Inventory Data,PWG has actual inventory tables  Wholesale Financing Data   Risk Questions Priorities,adschiltz,,US CA Wholesale Portfolio Mgmt
5   Dlr Dim Risk Archival Expansion,This is a parent user story to create an archived Dealer Dim type table to retain historical data and to fill in gaps in data.  Child User Stories will exist for each type of data that needs to be resolved  Currency Submission Frequency FYE BP etc.  ,adschiltz,,DFA Data Re Design
5a   Dlr Dim Risk:   Currency,Determine what currency each dealer submitted in for each yearmo.  Current Forward data is in EDL.  HIstorical data will need to be recreated on a dealer yearmo basis. ,adschiltz,,None
5b   Dlr Dim Risk:   Submission Frequency,Determine at what frequency each dealer submits submitted.  Current Forward data is in EDL.  Historical data will need to be recreated on a dealer yearmo basis. ,adschiltz,,None
5c   Dlr Dim Risk:   FYE,Explore how to use what was previously called FYE  # of months since fiscal year end .     rename more appropriately  Mth since FYE or other    determine usage in new process Determine historical fiscal year end months.  Current Forward data is in EDL.  Prior fiscal year month is present as well but anything prior to that is no longer visible.  ,adschiltz,,None
6   Output Files,The desired goal of this user story is the actual outputs files to be created and tested as accurate.  Will need the code in place. Dependent on user stories 1 2 3 4 5 in this feature. ,adschiltz,,DFA Data Re Design
7   Net Change Analysis,After code is complete and pulling in all dealers for all yearmos do a time and cost analysis of that process.   Might need to switch to only pulling in nightly the new submissions or resubmissions instead.   Considerations:  could use a toggle switch in code:  usually runs with net change approach but can toggle on for full update if when one is needed.  could have daily update only be net change but a separate job that pulls in everything to be run either as needed or to be run monthly quarterly if a schedule is desired.   This user story is for analysis only.  If determined that a net change approach is needed that will become a new user story with new time estimates.  ,adschiltz,,DFA Data Re Design
8   Data Enablement   Access,Where should we store these files who is the owner security concerns etc. Collab with DFA IT Ryan P10 JDF Analytics enablement SMOA risk,adschiltz,,DFA Data Re Design
9   Integration with SAS,This is to complete phase 1 of SAS Redesign feature. Goal is to get all current SAS processes working with the new source tables.. Things like models DFA metrics etc.  The idea here is that it may be temporary may not be    but do not back convert. ,adschiltz,,DFA Data Re Design
10   DFA Reporting and Charts,This is phase 2 of the DFA Re design. If this project is still desired and prioiritzed need to break up into smaller user stories.  End goal is a new dashboard or way of displaying summarizing and reporting DFA to stakeholders   Need to address DBM direct connection to DFA using AWS connection. do we still need it? ask Mike,adschiltz,,DFA Data Re Design
Knowledge Mgmt,Ongoing task for knowledge mgmt,adschiltz,,Risk Analytics Support
RA Strategy  Dan ,Planning user story to vet out Dans direction for wholesale analytics.. eventually may grow to a feature,adschiltz,,US CA Wholesale Portfolio Mgmt
R2 Dealer Health,card to acknowledge the work of meeting with R2 to asses dealer health model and if how risk can help move along should probably create a new feature parent. Need to build this card out more,adschiltz,,None
Inflation   FX Indicator,graphs need to show 3rd party representation when using inflation.. maybe fx too?,adschiltz,,US CA Wholesale Portfolio Mgmt
Team Web Page,Create team page in conjunction with Travis  JDF Analytics  deere.com ,adschiltz,,Risk Analytics Support
Risk Initiative: Dealer Recourse LRC,As a risk analyst I would like to monitor recourse levels against underlying assets and reserves so that we can be aware of potential losses given defaults. proposal has been agreed to now need to build the dataset historically which is what this user story represents,adschiltz,,US CA Wholesale Portfolio Mgmt
Intrntl RA Backlog Mgmt Software,In conjunction with Travis recommend Rally replacement for International RA team.   Cris has Jira experience   ,adschiltz,,Risk Analytics Support
USCA Dec Strat: Structure Rating,Including structure rating into pre req for auto authorizations Initial discussions are B and above qualifies but need to do more analysis on if number should be used instead of grade Next summer look at raising thresholds in accordance with risk tolerance   LTV,adschiltz,,US CA Wholesale Model Decision Strategy
Risk Reports,create list of reports used comprehensively in my portfolio.. This includes DFA model risk ratings etc.,adschiltz,,None
R2 DHA: Polish Issue,blank,adschiltz,,Region 2 Dealer Health App
R2 DHA: France Issue,France and Germany dealersIssueDFA line may not be appearing in the financial performance tabsFor germany and france.. Not all dealersAgripro in france for example,adschiltz,,Region 2 Dealer Health App
R2 DHA: Setup,Get access to app data sources ,adschiltz,,Region 2 Dealer Health App
202306 SOTPR,blank,adschiltz,,US CA Wholesale Portfolio Mgmt
DFA Issue,Expecting to see a May submission for DFA dealer 170305 in the major group fact and Tb account fact tables but it does not exist. It does exist in the submission fact table.Dealer dim 1023Time dim 41912The environment is:DFA AWS DB DETAILS:Host: dfaproddb.deere.comUsername: jdf ro,adschiltz,,US CA Wholesale Portfolio Mgmt
INC4730666   DE5220   Collateral value and Loan Amount have different periods on Request XML,Travis Atkinson Oct 14After discussing this defect with Cullen and Aditya it will remain a defect rather than considered an enhancement because the LTV schedule in the request XML was not implemented to mimic how Credit Configurator structures the LTV periods.In the details below I will describe the issue and propose a solution that will both remedy the defect and also improve the information sent to Webrules.To illustrate the point parallel submissions were entered into Credit Configurator  413232  and FinanceConnect  B012940 . For both the CC and FC submissions the full Financed amount of 80000 is the LoanAmt in Period 1 of the LTV schedule. However the CollatVal’s are different. CC shows the CollatVal = 60722.41 which is actually the collateral value after one month of depreciation. Notice this matches the CollatVal for Period 2 of the FC submission. Also notice that CC CollatVal for Period 2 = FC CollatVal for Period 3 = 59535.82 and so forth.FinanceConnect shows the original Financed Amount of 80000 and the starting Collateral Value of 61909 in Period 1 of the LTV schedule. It is good that they are from the same point in time but they are actually the values at Period 0 not Period 1.The optimal solution from the perspective of Risk Analytics would be to have a Period 0 as the first entry in the LTV schedule that shows the original Financed Amount as LoanAmt and Collateral Value prior to any depreciation as CollatVal. All subsequent Periods would show the LoanAmt and CollatVal at the end of the Period. Hence the final entry in the LTV schedule would show the LoanAmt = 0.00 and the CollatVal at the time the loan obligation was met. For this example there would actually be 49 total entries in the LTV schedule of the request XML for Period 0 through Period 48 since it is a 48 month term of monthly installments.I have attached the full XML’s for reference.Travis Atkinson Oct 8This should really be classified as an enhancement rather than a defect because Alfa is setting up the LTV schedule in the request XML exactly as Credit Configurator currently does. That is for Period 1 the Loan Amount is the full loan amount at the beginning of month 1 of the term  Time 0  whereas the collateral value is at the end of month 1 of the term or after a full month of depreciation  Time 1 . The timing of values should be aligned to properly communicate the LTV at each period to Webrules. The ideal enhancement would have a Period 0 with the full loan amount and full collateral value. All subsequent periods would show aligned amortization of the loan amount and depreciation of the collateral value. ,adschiltz,,Finance Connect Support    Alfa 
F5707 in Rally   Approved with Conditions,"this feature replace DE5505 which can be closed. See also INC4857456 Currently all Lease products  Operate Finance Lease  are not allow to for """"auto approvals"""" on submission level.But the case can """"auto approved"""" on resubmission level.Exact requirements will be delivered by Cullen When ICS is updated with Approved with conditions1  the re submission from Alfa to Zoot must should  show Approved with conditions which was selected in ICS2  Email for approved with conditions should be sent to customer from ICS3  If return response from Zoot is Approved with Conditions thena  Zoot response Approved with conditions must be be brought back into Alfa  QY and RD b  The workflow must have progression for Approved with conditionsc  The integrations must load the approved with conditions into ICS",adschiltz,,Finance Connect Support    Alfa 
AU22   Review new AU PMR delinquency files,Review of delinquency information will now be part of AU22 scorecard effort F7691   TA23May2022 Updated files made available by Les Henderson and Aftab Arif with corrected delinquency information New files are:B5SQLPROD.PMR CONTRACT TESTING5SQLPROD.PMR DELINQUENCY TESTINGB5SQLPROD.PMR DELINQUENCY DETAILS TESTING,adschiltz,,AU22 Scorecard and Decision Strategy
AU22   Australia PMR.Equip missing recent information,Verify Equip files as part of AU22 project,adschiltz,,AU22 Scorecard and Decision Strategy
Updated International Portfolio Graphs,Speak with Laura about updating and separating by region the International Portfolio GraphsSee Region 2 workbook,adschiltz,,None
Ad hoc   DLR exposure,There a few recent DLR proposals in GB that failed to extract DPFR limit and exposure which incorrectly sent the proposals to manual review with an exposure decision reason code.,adschiltz,,None
AU22   Model Development,blank,adschiltz,,AU22 Scorecard and Decision Strategy
AU22   Decision strategy,blank,adschiltz,,AU22 Scorecard and Decision Strategy
AU22   Implementation,blank,adschiltz,,AU22 Scorecard and Decision Strategy
AU22   Model Documentation,blank,adschiltz,,AU22 Scorecard and Decision Strategy
AU22   Collections and recovery overview,blank,adschiltz,,AU22 Scorecard and Decision Strategy
IDP   Data Science   Coursera: Applied Data Science with Python,5 course specialization through University of Michigan,adschiltz,,Career Development   Data Science
AU22   Development Sample   Customer Data,Pull in additional customer data for both primary and associates e.g. Industry Date of First Contact Years on Property  at time of application For some attributes might not be able to rely on PMR Customer but rather the historical snapshot files in PMRAU.CustomerData Create a procedure document or comments in AutoExec about how to access additional tables ,adschiltz,,AU22 Scorecard and Decision Strategy
Review new GPM standards for How We Work,Resources: English  sharepoint.com  ,adschiltz,,None
AU22   LTV at inception,Pull in equipment values for new pieces at inception.  Chelsea working on same problem for DE22 project.  Reach out to Advanced Analytics team with questions.,adschiltz,,None
IDP   Data Science   Coursera: Data Science with Databricks for Data Analysts,blank,adschiltz,,Career Development   Data Science
Coursera: Introduction to Data Science with Python,blank,adschiltz,,None
Coursera: Applied Plotting Charting and Data Representation in Python,blank,adschiltz,,None
Coursera: Applied Machine Learning in Python,blank,adschiltz,,None
Coursera: Applied Text Mining in Python,blank,adschiltz,,None
Coursera: Applied Social Network Analysis in Python,blank,adschiltz,,None
AU22   Recovery investigation and reconciliation,blank,adschiltz,,None
DE22   Customer History code and data review,blank,adschiltz,,DE22 Scorecard Redevelopment
AU NZ Credit Auth and DFA comparison,Dan has asked for a review of the information recorded in DFA against that provided in the credit authorization documentation   see attached e mails.RE AU DFA Quality has the request from Dan.RE Favor Australia Wholesale Credit Authorizations contains the details from Ross Wernimont.  ,adschiltz,,Risk Analytics Support
R2 Revolving Credit   Pre approval analysis,Preapprove customers for pilot ,adschiltz,,R2 Revolving Credit
R2 Revolving Credit   Decision Strategy,blank,adschiltz,,R2 Revolving Credit
R2 Revolving Credit   Documentation,blank,adschiltz,,R2 Revolving Credit
R2 Revolving Credit   WR7 Implementation,blank,adschiltz,,R2 Revolving Credit
AU22 Univariate Analysis,Run and analyze univariate analysis on development sample to pinpoint and understand data issues.,adschiltz,,AU22 Scorecard and Decision Strategy
WR7   Migrating from Ready API to Postman,Investigate migrating away from Ready API to Postman.  Ready API continues to be licensed by Deere but it has very few users and cost ~$26K per year in licensing fees.  Most of the business uses Postman for API testing.  Investigate whether we can migrate our projects to Postman.  Currently Kendall Schwartz is looking into this.  We have provided him a copy of our Ready API project that allows us to do batch testing.,adschiltz,,Webrules Support
R2 Revolving Credit   Architectural Evaluation,blank,adschiltz,,R2 Revolving Credit
Rally Replacement   Backlog Management Software,Research alternatives to RallyJiraTeams Team BoardgitHub others? Rally is going away at the end of the fiscal year and we need to migrate our Rally boards,adschiltz,,Risk Analytics Support
Experian API Migration   Business Owner Request Change,There was an error with how the Experian Business Owner Request was populated for sole traders. Description in attached e mail. ,adschiltz,,Webrules Support
SOTPR   August 2023   AU NZ Ops,blank,adschiltz,,R4 Portfolio Management   AU NZ AME
Exposure by percentile request   AU NZ,Cullen requested exposure by percentile for last year's worth of application volume for each retail portfolio. ,adschiltz,,R4 Portfolio Management   AU NZ AME
AU22   Decision Strategy attributes,Consider whether there are attributes that will be required for the decision strategy that are not already on the development samplee.g. customer exposure at application,adschiltz,,AU22 Scorecard and Decision Strategy
Experian API Migration   Investigate KYC issue around Date of Birth mismatch,blank,adschiltz,,Webrules Support
Experian API Migration   Missing HR surname investigation,blank,adschiltz,,Webrules Support
Experian API Migration   Business Targeter search issue,blank,adschiltz,,Webrules Support
Support AU NZ   AvgAmtFin over Time and RR8 dealer,Mark Saunders would like to know:the dealer that was flagged in FSCM and is RR8why application numbers are down 27% but financed volumes are up significantly.AvgAmtFin over time could explain thisNeeds answer before meeting Wednesday morning which is EOB on Tuesday.,adschiltz,,R4 Portfolio Management   AU NZ AME
